name,total_m,segments_count,street_count
Lieskovská cesta,6383.379498438141,31,2
Nábr. I. Krasku,6382.815166976918,20,1
Slov. nár. povstania,6364.856683939153,34,7
Holubyho,6361.638868457559,43,14
Močiar,6353.235207183183,18,3
Borovicová,6334.361961782501,36,24
Severná tangenta,6313.238326770599,15,1
Pod horou,6276.262275591698,43,14
Vinianska cesta,6266.73211400879,30,1
Sídlisko,6259.3380783847715,53,7
A. Bernoláka,6259.192961361152,30,10
Rajecká,6249.216544267659,30,5
Priečna,6222.802362808337,34,22
K Surdoku,6207.546213334786,53,1
Senecká cesta,6185.100456683164,49,3
Lamačská cesta,6171.729079395988,67,1
Jaseňová,6150.932025621017,54,19
T. Vansovej,6140.805149872367,40,20
Matice slovenskej,6136.745883483997,75,8
Ševčenkova,6129.124372480586,45,6
Kmeťova,6110.366781995969,62,13
Novozámocká cesta,6104.514747320893,29,5
Šípková,6081.731443600282,38,25
Prostějovská,6074.025226539457,34,1
Svornosti,6072.051385792885,49,6
Hlboká cesta,6064.085098683529,34,10
Tolstého,6059.329509833298,28,18
Garbiarska,6056.596599949136,56,13
Kláštorná,6055.056185809856,43,14
Pivničná,6038.71937985607,29,10
Modranská,6029.547779415664,37,6
Strojárenská,6022.718447269102,40,9
Baštová,6006.750862220529,29,11
Generála Svobodu,5999.323368291998,42,7
Jiklínská cesta,5980.930966244861,6,3
Hoštáky,5976.2502059145145,34,12
Manina,5970.994079381333,19,2
Komárňanská cesta,5969.793272493267,36,4
Herlianska,5955.457032863283,42,4
Slivková,5948.658962960213,37,23
Pekárenská,5939.357618981607,28,17
Mýtna,5938.495543686923,40,11
J. G. Tajovského,5937.866105092361,40,16
Ovocinárska,5932.194185211902,18,6
Jiráskova,5914.9598462108515,60,12
Slávičia,5891.650210678483,26,13
účelová cesta Armády SR,5887.052674274186,15,1
Októbrová,5883.052594903437,30,7
Baba,5867.33108475648,4,1
Hodžova,5844.078248956332,44,15
Ivanská cesta,5832.776126765172,80,1
Lučenecká cesta,5830.13188681316,47,1
Kyslinky,5816.015362803033,2,1
Bojnická,5814.711961630884,53,3
Volgogradská,5811.466949817833,53,3
Dlhý rad,5799.225670154489,21,7
Pekná cesta,5798.876751667588,47,3
Platanová,5793.607281544154,36,16
Podjavorinskej,5772.783885495218,37,16
Einsteinova,5766.910495862725,60,1
Perlová,5760.047541413578,15,5
L. Novomeského,5758.182895276238,39,11
Malinovská,5754.0658737291305,21,6
Rajňanská,5742.435226212387,9,5
Bezručova,5741.637510690597,50,13
Slnečné jazerá,5720.7283291943895,26,2
Buková,5720.493299747084,32,20
Fándlyho,5715.073322448933,21,15
J. Hollého,5688.947520311987,32,13
Nová cesta,5657.916458348288,19,5
Golfová,5649.172935757989,41,7
Humenská cesta,5648.739488103428,49,1
Mojmírova,5642.552062368206,39,19
Astrová,5633.496814564092,41,22
Šugovská dolina,5595.639838558472,8,1
Liptovská,5576.059315752093,39,12
Estakáda,5574.119781551651,44,1
Dopravná,5568.5661279394,37,6
Slavkovská,5550.021946797707,21,5
Kamenárska,5531.527797190735,21,8
Prístavná,5530.962307074014,49,3
Pekná,5529.359250266385,35,16
Nábrežie,5525.559809134526,45,6
Kossuth Lajos utca,5524.979472640053,14,6
Tokajská,5522.130327579294,14,5
Solivarská,5511.066082295616,41,3
Vŕbová,5505.444868083484,33,22
Brnianska,5496.038449554022,41,3
Tunel Havran,5481.003697957032,2,1
Pri letisku,5465.767895434104,58,3
Hečkova,5465.343810670651,36,15
Jaseninka,5463.820593679052,3,1
Gen. M. R. Štefánika,5461.861733320706,50,6
Cesta na Senec,5453.389599800175,36,1
Kysucká,5428.834985149063,65,12
Laborecká,5427.27627679326,24,8
Kaštieľska,5408.391815411038,32,12
Slovenského národného povstania,5396.263431687787,22,5
Mariánska,5389.061431651749,35,11
Wilsonovo nábrežie,5386.659789748245,31,1
Bajzova,5384.09851238348,37,12
Stavbárska,5383.175901629795,33,10
Antonstál,5370.87381813652,8,1
Na pažiti,5354.47863525209,30,10
Mierové námestie,5354.240749188341,83,12
Francisciho,5349.172105538777,42,13
Karolov dvor,5346.229627021336,11,2
Adyho,5345.718163150419,29,10
Rozkvet,5328.302378331181,27,1
Ortútska cesta,5319.235528566188,46,1
Hlohovecká,5279.256590214487,49,6
Trieda arm. gen. Svobodu,5275.205938747914,73,1
Južné nábrežie,5261.965502538315,46,1
Krivá,5258.102186943023,31,15
Duchnovičova,5256.743088098284,18,6
Kokavka,5255.845816829125,5,1
Zelená voda II.,5248.3027506548115,32,1
Trstická cesta,5242.291538901449,5,1
Marhuľová,5235.347192612209,31,19
Trieda Andreja Hlinku,5227.235739154001,47,1
Pri Váhu,5220.346288717502,17,8
Za kostolom,5219.942744550893,33,16
Mesačná,5213.769220127164,48,18
Dúbravská,5207.469885086188,25,5
Strmá,5204.247592089307,38,18
Vysokoškolákov,5190.967836841506,83,1
Daxnerova,5180.0346169209215,28,11
Čergovská,5175.5175989834115,19,10
Konvalinková,5156.541787487509,46,22
Gerlachovská,5153.672315234539,25,9
Stará hradská,5151.349279735936,10,5
Antona Bernoláka,5121.48403701713,38,8
Stará hlavná cesta,5106.494269657367,1,1
Toplianska,5093.07019889108,18,5
Púchovská,5088.075858466562,39,6
Limbová,5086.573066782521,30,12
B. S. Timravy,5078.17153906696,32,13
Horská cesta,5066.680342433285,10,1
Martina Benku,5046.417877971845,32,15
Kukorelliho,5028.020129055462,32,10
Myslavská,5027.465730441953,29,1
Slovanská,5017.212154034923,33,12
Liesková,5016.566340292869,25,17
M. Rázusa,5016.07737655104,22,6
Kúty,5010.049365659473,33,8
Huta,5002.719480377517,18,4
Záhrady,4986.963866360275,23,9
Tunel Branisko,4979.505168962889,1,1
Kpt. Jaroša,4976.199754832901,28,13
Toryská,4974.233824471974,63,6
Milana Rastislava Štefánika,4970.711808749974,29,6
Dukelských hrdinov,4952.827584778018,26,12
Okolie,4952.125586967695,8,1
Slnečné údolie,4948.2410506668,18,1
Štvrť SNP,4947.391266196539,40,2
Kláštorská,4947.218128638494,22,5
Nábrežie arm. gen. Ludvíka Svobodu,4945.0081597388735,42,1
A. Kmeťa,4934.647440357737,37,13
Žitná,4923.498177505833,33,11
Vážskeho brehu,4917.069495041946,4,1
Sklárska,4905.948802803836,26,7
Południowy Płaj,4882.497072016637,1,1
Dolné Hony,4881.7297653520145,16,1
Ľudmily Podjavorinskej,4872.5216433684745,27,10
Studená,4871.01931887966,43,6
Rekreačná cesta,4869.239713283907,11,1
Hliny,4862.873841117544,19,2
J. Kollára,4858.3969631002055,29,13
Kozmonautov,4858.248990950843,23,8
Ulička,4854.130031688915,25,13
M. Kukučína,4852.778390737909,34,10
Kuzmická,4841.340690754583,12,3
Hrušková,4829.211279459665,31,19
Mlynárska,4816.244954053621,28,12
Banská cesta,4811.821855851612,16,5
Kutuzovova,4809.274391427367,31,6
Vlčie jamy,4808.504627398654,3,1
Sibírska,4797.172130671579,33,8
Kubranská,4776.65004536117,56,1
Včelárska,4769.74309527137,30,13
Starý parkový chodník,4768.254763970178,6,1
Pod kaštieľom,4767.6110615686475,24,8
Hospodárska,4763.20019825081,45,7
Długa,4738.374023142805,4,1
Tunel Ovčiarsko,4710.261323587583,2,1
Terchovská,4700.095888516434,41,4
Žerucha,4699.105000760631,15,1
I. Krasku,4694.870775001316,23,10
Korytnická,4683.736514239443,20,3
Čachtická,4678.456628240677,25,3
Tehelňa,4675.295558820427,25,8
Bystrická cesta,4668.731509509878,34,1
Vrbová,4667.00643015045,22,13
Zahájnická cesta,4664.121113210961,2,1
Ivana Krasku,4632.338608748729,28,12
Dedovec,4628.066108996901,17,1
Krajinská cesta,4625.607218619953,53,4
Nový majer,4621.550032684734,9,2
Tabaková,4618.467013399375,20,14
M. Schneidra Trnavského,4601.456706633821,32,1
Radová,4591.412351115251,26,11
Mlynská dolina,4586.684684319218,39,1
Okrajovka,4579.683894807624,8,1
Staré Grunty,4559.801454708416,25,2
Svätojánska,4559.31362198543,20,9
Hlavné námestie,4553.2259539216375,64,14
Farské,4548.005315688102,23,1
Poštárka,4547.487849010668,11,2
Ľubochnianska,4543.021192771148,26,3
Vansovej,4529.770791453693,29,14
Sereďská,4518.396136894019,28,4
Palackého,4517.6281702854485,60,10
Hlinkova,4498.165897600613,60,4
Kapušianska,4491.691582632974,21,6
Tunel Prešov,4484.452770403108,2,1
Pod kalváriou,4479.204514715427,17,8
Červený rak,4478.262759866981,24,1
Dobrianskeho,4473.757369809392,23,6
Hlavná cesta,4469.490452196416,25,5
Smetanova,4469.381810816293,24,12
Dolný koniec,4445.459529287509,26,7
Mudroňova,4444.971691724654,27,9
Hliníky,4442.042972179876,22,5
Popradská cesta,4436.877315294509,31,2
Štefana Moyzesa,4435.952082323615,32,7
Labutia,4428.787486219433,28,10
Riadok,4424.857412444927,31,8
Považský Chlmec,4422.492804548512,2,1
Kostolianska cesta,4419.6177840102155,18,1
Podkerepušky,4407.679014619124,25,1
Mlynské nivy,4398.755647981071,64,1
Gúgska,4398.586310913429,9,1
Laurínska,4389.833832874033,20,1
Nešporova,4347.557514155542,33,9
Námestie Ľ. Štúra,4345.335224351686,57,6
Vlárska,4342.328486727332,31,6
Košická cesta,4337.543936502465,61,1
Mirka Nešpora,4324.770426649539,30,6
Viničná cesta,4324.625723388223,10,3
Piesková,4322.178919225351,11,10
Elektrárenská,4320.180050912407,26,10
Hviezdoslavova trieda,4314.567095645077,49,1
Cesta pod Kopu,4312.981109809604,4,1
Na kopci,4309.422238568124,24,8
Pažiť,4302.733296314774,11,8
