name,total_m,segments_count
Solivarská,5511.06897570864,40
Vŕbová,5508.163068228251,33
Brnianska,5496.091911622749,38
Gen. M. R. Štefánika,5492.950008672653,52
Hečkova,5465.183980208172,36
Jaseninka,5463.820593679052,3
Cesta na Senec,5449.755050229137,37
Laborecká,5430.107793235222,24
Slovenského národného povstania,5397.017715869333,22
Wilsonovo nábrežie,5395.415043982666,27
Kysucká,5389.629135142488,58
Mariánska,5388.315861611671,35
Stavbárska,5386.511992411859,33
Bajzova,5385.62632799347,36
Na pažiti,5374.5565791155395,27
Antonstál,5370.874403263662,8
Francisciho,5349.172420262456,42
Karolov dvor,5346.229627021336,11
Adyho,5341.11095722338,24
Mierové námestie,5328.852148003141,82
Ortútska cesta,5319.235858030753,46
Krivá,5306.657758060699,31
Rozkvet,5298.18071534077,27
Hlohovecká,5281.46548517408,42
Trieda arm. gen. Svobodu,5274.403762110596,73
Južné nábrežie,5261.859188558858,46
Duchnovičova,5256.448607162498,17
Kokavka,5255.845816829125,5
Zelená voda II.,5248.3027506548115,32
Močiar,5247.256104985661,8
Trstická cesta,5242.291538901449,5
Trieda Andreja Hlinku,5227.237367865813,46
Za kostolom,5220.0339482464615,33
Dúbravská,5207.469898523672,24
Strmá,5205.9464389509285,38
Vysokoškolákov,5188.944852114826,79
Daxnerova,5179.843485802554,26
Čergovská,5175.517596237367,19
Pri Váhu,5165.778406805528,16
Konvalinková,5157.417613480491,34
Gerlachovská,5152.802493830743,25
Stará hradská,5151.349279735935,10
Martina Benku,5144.590809609943,33
Antona Bernoláka,5123.612442005775,38
Liptovská,5122.800020571815,32
Stará hlavná cesta,5106.494269657367,1
Toplianska,5092.666854379073,17
Púchovská,5088.084837461988,39
Limbová,5086.495337073684,30
B. S. Timravy,5077.831510320555,31
Horská cesta,5066.680342433287,10
Mesačná,5043.120519006096,37
Kukorelliho,5027.955771219217,32
Myslavská,5027.470734428625,29
Liesková,5020.687511800518,25
M. Rázusa,5015.6448006396695,19
Slovanská,5014.8962275164195,32
Kúty,5009.3021095218755,33
Huta,4997.094021368361,18
Záhrady,4986.947416675762,23
Tunel Branisko,4979.505168962889,1
Kpt. Jaroša,4977.204933111634,26
Toryská,4976.850055588186,60
Milana Rastislava Štefánika,4974.301417941613,29
Tehelňa,4969.010730099591,26
Dukelských hrdinov,4966.651733121822,26
Okolie,4952.116810719997,8
Slnečné údolie,4948.2410506668,18
Kláštorská,4947.097883473568,20
Nábrežie arm. gen. Ludvíka Svobodu,4945.007413324774,42
Štvrť SNP,4942.620466378986,31
Marhuľová,4935.7667451041525,30
Žitná,4923.498176820097,33
Sklárska,4917.684139369345,26
Vážskeho brehu,4917.069495041946,4
A. Kmeťa,4896.270498560307,34
Dolné Hony,4881.737215048288,13
Ľudmily Podjavorinskej,4876.806844510904,27
Studená,4871.600642134296,44
Rekreačná cesta,4869.239713283907,11
Hliny,4866.966623986368,18
J. Kollára,4858.56033178155,29
Ulička,4854.805862466535,22
Kozmonautov,4854.468919580773,22
M. Kukučína,4852.7849893154,34
Kuzmická,4841.340690754583,12
Kutuzovova,4817.076487944379,29
Mlynárska,4816.244643370735,25
Banská cesta,4811.872156888557,16
Vlčie jamy,4808.504627398654,3
Sibírska,4797.869545135095,33
Kubranská,4776.949082631417,56
Včelárska,4772.358135942915,30
Starý parkový chodník,4768.254763970178,6
Pod kaštieľom,4767.6073761042135,24
Hospodárska,4762.928503756528,40
Długa,4738.374023142805,4
Kaštieľska,4719.3186932624285,26
Tunel Ovčiarsko,4710.261323587583,2
Południowy Płaj,4707.610719954128,1
Bystrická cesta,4703.45834289463,34
Terchovská,4699.469117870547,41
Žerucha,4699.104994941504,15
I. Krasku,4694.938988619277,23
Korytnická,4683.122857759641,20
Palackého,4681.579312443622,63
Čachtická,4678.456628240676,25
Zahájnická cesta,4664.121113210961,2
Vrbová,4655.993361507164,21
Dedovec,4649.04049811795,17
Ivana Krasku,4632.114501826536,22
Hlavné námestie,4629.937022379949,64
Nový majer,4621.550032684733,9
Krajinská cesta,4621.193744347831,49
Tabaková,4619.350811717974,20
Radová,4591.047645466755,26
Mlynská dolina,4586.6563582167,38
Okrajovka,4584.286794589036,8
Svätojánska,4559.31362198543,19
Staré Grunty,4557.201618808119,27
M. Schneidra Trnavského,4555.686296819734,31
Farské,4548.005315688101,23
Poštárka,4547.487849010668,11
Ľubochnianska,4543.0211895786,26
Vansovej,4527.997640924277,30
Sereďská,4518.389696934156,15
Hlinkova,4512.995926775516,60
Laurínska,4504.715732174209,17
Kapušianska,4491.6914905730155,21
Tunel Prešov,4484.452770403108,2
Pod kalváriou,4479.204742756335,17
Červený rak,4478.252051425495,23
Dobrianskeho,4473.687122755999,23
Smetanova,4469.30645082311,24
Hlavná cesta,4465.283674170181,25
Štefana Moyzesa,4459.382855916158,30
Hrušková,4452.895162234198,30
Mudroňova,4447.289946590559,26
Dolný koniec,4443.409132144635,25
Hliníky,4441.491333009919,22
Popradská cesta,4436.877315294511,31
Riadok,4429.019203996518,30
Labutia,4428.529308815687,25
Považský Chlmec,4422.492804548512,2
Podkerepušky,4407.679014619124,25
Mlynské nivy,4399.197402209604,63
Gúgska,4398.5863058120185,6
Kostolianska cesta,4374.044423642063,17
Švábska,4366.184128847163,34
Nešporova,4349.464267867859,32
Námestie Ľ. Štúra,4346.3182323394885,57
Vlárska,4343.866299979815,32
Košická cesta,4337.562278989215,61
Viničná cesta,4323.079169358896,9
Mirka Nešpora,4322.772907214021,29
Piesková,4322.178918255514,11
Elektrárenská,4320.18005036646,27
Hviezdoslavova trieda,4313.801023826597,48
Cesta pod Kopu,4312.981109809604,4
Na kopci,4310.90670210542,23
Pažiť,4304.067799994427,11
Vydumanec,4301.265992850496,26
Pod vinohradmi,4289.511287900593,19
Havrilovo,4283.147857083761,9
Horný koniec,4269.810098549016,26
Ovocná,4250.719274969559,31
Novomeského,4249.197515329278,22
Západný lesnícky chodník,4233.51022168831,2
Šávoľská cesta,4227.703026097705,14
Šamorínska,4223.676162574546,22
Centrálna,4217.0190716251545,30
Šurianska,4210.572958532928,11
Niva,4196.012746728776,22
Nábrežie Oravy,4193.1989883098595,12
Hodská,4189.737764548762,23
Prievozská,4185.084572864678,31
Muránska,4178.037218887369,18
Broskyňová,4176.393747730667,29
Most Hričovský kanál,4171.90059959249,2
Andreja Sládkoviča,4170.419425392459,33
Okružná cesta,4170.413404096273,20
Senecká,4168.388778890445,22
Šancová,4166.781620808726,42
Veščarovci,4160.804600449951,24
Jegenešská,4158.440026686305,16
Pri parku,4157.85119392067,22
Nevädzová,4150.832439479817,35
Podháj,4149.686602617157,24
Užhorodská,4148.574849685814,39
Jurkovičova,4147.036664598053,30
Poľná cesta,4145.913807414727,11
Mýtna cesta,4145.189182646362,4
Krásna,4141.038614383155,22
Jantárová cesta,4138.1938056524705,38
Medvedia cesta,4138.089219095814,2
Botanická,4136.285818538212,39
Stará dolina,4135.679419287944,3
Wolkerova,4135.462027630242,30
Bratská,4134.814138420254,51
Boženy Němcovej,4130.631081118562,27
Surovecká cesta,4129.613574081775,5
Fő utca,4122.342604990132,16
Stred,4114.10975251792,34
Cesta osloboditeľov,4111.940384196972,14
Šrobárova,4103.207584669657,32
Podhradie,4097.339352624771,14
Kutlíkova,4090.710906247812,37
Diaľničná cesta,4083.3072866063094,38
Starohutská,4082.017426007123,3
Oravská,4075.1592909209157,26
Budovateľov,4072.422730843944,21
Veľkomoravská,4066.566352292896,26
Stupy,4066.4798217964717,17
Vrbovská cesta,4058.394519649828,28
Oravická,4057.0188338540875,13
Kolibská cesta,4056.7841526937245,7
Záhumenice,4045.7627243222973,21
Moskovská,4041.8051564581788,26
Trnková,4037.8212256850306,24
Pri majeri,4033.2939647180942,18
Hliník,4031.727402136622,24
Morušová,4023.2712907088294,34
Plánky,4012.635550837679,29
Pod Wilec hôrkou,4001.2744085132663,21
Sv. Martina,3997.382918191674,20
Na papiereň,3995.6002235129004,5
Repište,3992.5345081941823,20
Poľnohospodárska,3985.9333123558517,13
Mochovská,3985.473108879105,19
Novoveská cesta,3979.97678151541,27
Golianova,3975.794575284366,33
Tomášovská,3970.0688337425854,16
Zochova,3968.7683423757,12
Sečovská cesta,3966.6389116740493,21
Jurava II,3965.074705851617,15
stará Keltská cesta,3964.2081483719476,9
Francúzskych partizánov,3957.79568589799,44
Kazanská,3950.2708662108344,46
Prejtská,3949.724638867268,23
Podzámska,3946.587045146681,26
Ľanová,3944.167584983569,16
Chotárna,3938.0920587394767,14
Námestie hrdinov,3936.887926418571,50
M. Benku,3930.9398867248947,24
Ľavobrežná,3917.5041948539797,21
Gazdovská,3917.3901533139697,17
Svätý Ján,3917.2337163794455,11
Záhorácka,3916.2700634040984,31
Vyšná,3914.593936280392,18
Gäceľská cesta,3910.565482954434,8
Bátovská cesta,3907.157495036595,20
Pri jazere,3907.0788627052198,18
Žriedlová dolina,3902.3249394812074,7
Chorvátska,3897.4567955137773,17
S. Chalupku,3879.8174818606853,25
Pri štadióne,3876.714811271333,17
Požehov,3870.695849403474,1
Čulenova,3854.174516103696,34
Mikovíniho,3847.2742404703986,26
Bulharská,3836.46835611778,37
Poľovnícky chodník,3836.011282570203,4
Vyšná Chorepa,3832.8338796034486,4
Podpláštska aleja,3827.6774126736927,2
Tunel Dargov,3826.231465775023,2
Kraskova,3817.436098335811,30
Jána Švermu,3816.518401091144,21
Starý most,3809.0752622475893,11
Betliarska,3798.7735922195643,40
Belohříbkov chodník,3787.1803132434943,3
Hajnošová,3784.5329819440717,7
Lichardova,3775.0726847850174,14
Za školou,3770.523680559985,19
Zemplínska,3756.566178934308,19
Rajecká cesta,3745.9414579847835,25
Jarocká,3739.0063379343314,9
Zlatá,3737.631448157442,21
Exnárova,3732.929136205589,39
Pri hrádzi,3727.660312587039,22
4. apríla,3726.6600054976757,26
Jána Kollára,3722.286174863494,28
Vyhnianska,3714.517524051739,15
Ďumbierska,3696.141170600304,26
Okruhliak,3694.95301337985,2
Závoz,3691.91760971698,12
Predmierska cesta,3688.3035668456805,7
Gorazdova,3688.0314635826053,22
L. Svobodu,3683.3610322411996,13
Rákóczi Ferenc utca,3682.843933946968,5
Opatovská cesta,3681.097850817202,16
P. J. Šafárika,3674.70146870216,17
Americká trieda,3666.1650399662835,47
Kaplnská,3655.3267544934206,7
Poriečie,3646.321447981461,5
Topoľnianska cesta,3645.9127543372647,2
Slovnaftská,3644.239217662393,50
Konský dol,3635.8456428370555,3
Spodná,3627.603668753362,14
Hajošov chodník,3627.257112104152,5
Nový Dvor,3622.404956454171,13
Tyršova,3615.077522085613,24
Sv. Anny,3613.5914882119177,18
Hnilecká,3607.891055325056,13
Marka Čulena,3605.904112337587,20
Nábrežie mládeže,3603.8457761546283,15
Vrbovská,3599.7080387496576,17
Triblavinská,3597.095497432709,13
Spojná,3595.8296887535153,21
Strážnická,3587.2608250348408,17
Petőfi Sándor utca,3586.2993187346838,11
Lučenská,3579.3034869035896,22
Romantyčka,3577.7732396354713,5
Balkánska,3571.381198911903,16
Myslenická,3569.4518850444138,38
Pri kaštieli,3555.927573541723,24
Potôčky,3551.0142996201257,21
Požiarna cesta Blajzloch,3546.168429539226,2
Juraja Holčeka,3544.6946541932043,13
Strojárska,3539.3031658401974,21
Zápotočná,3538.488000489898,20
Vsetínska,3535.9967495063484,23
Dolinská,3535.9140095835814,20
Na Sihoti,3534.4162447219023,27
Knižkova dolina,3532.7024302211107,9
Kubrická,3532.0564908416136,33
Trenčianska cesta,3530.7492992466864,26
Výhon,3526.940228947659,9
Líščie údolie,3515.904882729609,19
Kopčianska,3515.7771578440093,30
Odbojárska,3508.2411463379826,20
Borová,3487.5045510109626,34
Medená,3481.202185807533,18
Štiavnička,3479.474257614561,8
Textilná,3479.004505623556,28
Grunt,3478.9966902233664,11
Vlkanovská,3476.5487354871007,25
Vápenka,3472.2749773455657,18
Súľovská,3462.7347215405825,20
